trmt,pctbadam,pctstemdam
Nitrogen,55.70304818,50
Nitrogen,22.20472441,16.39344262
Nitrogen,0,0
Nitrogen,22.93373045,9.375
Nitrogen,51.42642643,30.76923077
Nitrogen,20.20148462,10.63829787
Nitrogen,73.8045738,56.92307692
Nitrogen,75.2123938,70.58823529
Nitrogen,100,100
Nitrogen,77.37226277,68.08510638
Nitrogen,60.91081594,58.53658537
Nitrogen,88.6035313,76.92307692
Nitrogen,12.20735786,2.127659574
Nitrogen,34.28143713,21.875
Nitrogen,38.23529412,16.98113208
Nitrogen,1.503164557,4.761904762
Nitrogen,6.718346253,2.43902439
Nitrogen,2.075471698,3.225806452
Nitrogen,9.5,1.492537313
Nitrogen,4.336188437,9.523809524
Nitrogen,5.193951348,9.523809524
Nitrogen,11.4739229,9.433962264
Nitrogen,21.11292962,32.55813953
Nitrogen,1.29403307,2.222222222
Control,31.94698355,23.07692308
Control,37.15992037,28.81355932
Control,40.80944351,35.21126761
Control,35.31531532,41.81818182
Control,31.97405005,30.23255814
Control,41.4500684,45.45454545
Control,0,0
Control,13.83928571,12.32876712
Control,56.49350649,45.16129032
Control,38.8372093,18.84057971
Control,38.24670287,17.5
Control,42.71717831,23.33333333
Control,0.357690342,1.470588235
Control,25.67215958,21.73913043
Control,45.46546547,33.33333333
Control,21.32409546,16.36363636
Control,8.410636982,10
Control,34.89167617,31.25
Control,0,0
Control,0,0
Control,0,0
Control,0,0
Control,0,0
Control,0,0
